case_id,target_file,case_name,action_count,ble_count,cloud_count,local_count,ha_count,native_latency_s,naive_topo_latency_s,latency_gain_s,latency_gain_pct,validation_pass,validation_failure_type,batch_count,max_batch_width,runtime_s,micro_not_applicable,validation_dir
vdev_leave_home_safety_energy_sweep_01,data/targets/vdev_benchmarks/vdev_leave_home_safety_energy_sweep_01.json,Leave-Home Safety and Energy Sweep,20,6,6,4,4,16.88,11.92,4.96,29.38,1,,10,4,0.0284,True,data/baselines/naive_topo_parallel/latest/validation/vdev_leave_home_safety_energy_sweep_01
vdev_leave_home_safety_sweep_profile_01,data/targets/vdev_benchmarks/vdev_leave_home_safety_sweep_profile_01.json,Leave-Home Safety Sweep Profile Coverage,24,7,7,6,4,19.82,13.84,5.98,30.17,1,,12,4,0.0344,True,data/baselines/naive_topo_parallel/latest/validation/vdev_leave_home_safety_sweep_profile_01
vdev_leaving_home_safety_check_01,data/targets/vdev_benchmarks/vdev_leaving_home_safety_check_01.json,Leaving Home Safety Check Routine,16,5,5,2,4,13.94,10.0,3.94,28.26,1,,8,4,0.0345,True,data/baselines/naive_topo_parallel/latest/validation/vdev_leaving_home_safety_check_01
vdev_morning_wakeup_ramp_01,data/targets/vdev_benchmarks/vdev_morning_wakeup_ramp_01.json,Morning Wake-Up Ramp Routine,26,6,13,3,4,23.06,13.72,9.34,40.5,1,,12,4,0.055,True,data/baselines/naive_topo_parallel/latest/validation/vdev_morning_wakeup_ramp_01
vdev_morning_wakeup_readiness_01,data/targets/vdev_benchmarks/vdev_morning_wakeup_readiness_01.json,Morning Wake-Up Readiness Routine,16,7,3,2,4,15.74,12.7,3.04,19.31,0,order_violation,9,4,0.032,True,data/baselines/naive_topo_parallel/latest/validation/vdev_morning_wakeup_readiness_01
vdev_morning_wakeup_readiness_profile_01,data/targets/vdev_benchmarks/vdev_morning_wakeup_readiness_profile_01.json,Morning Wake-Up Readiness Profile Coverage,16,8,2,2,4,16.64,14.5,2.14,12.86,0,order_violation,10,4,0.0334,True,data/baselines/naive_topo_parallel/latest/validation/vdev_morning_wakeup_readiness_profile_01
vdev_movie_night_blackout_01,data/targets/vdev_benchmarks/vdev_movie_night_blackout_01.json,Movie Night Blackout Routine,26,6,13,3,4,23.06,13.72,9.34,40.5,1,,12,4,0.0486,True,data/baselines/naive_topo_parallel/latest/validation/vdev_movie_night_blackout_01
vdev_night_shutdown_01,data/targets/vdev_benchmarks/vdev_night_shutdown_01.json,Night Shutdown Routine,17,6,5,2,4,15.74,11.8,3.94,25.03,1,,9,4,0.0253,True,data/baselines/naive_topo_parallel/latest/validation/vdev_night_shutdown_01
vdev_overnight_health_safety_monitoring_01,data/targets/vdev_benchmarks/vdev_overnight_health_safety_monitoring_01.json,Overnight Health & Safety Monitoring Routine,16,4,6,2,4,13.04,8.32,4.72,36.2,1,,8,4,0.0227,True,data/baselines/naive_topo_parallel/latest/validation/vdev_overnight_health_safety_monitoring_01
vdev_overnight_quiet_hours_snapshot_01,data/targets/vdev_benchmarks/vdev_overnight_quiet_hours_snapshot_01.json,Overnight Quiet-Hours Snapshot,16,5,5,2,4,13.94,10.0,3.94,28.26,1,,8,4,0.028,True,data/baselines/naive_topo_parallel/latest/validation/vdev_overnight_quiet_hours_snapshot_01
